rank,name,country,prize_money
1,Judd Trump,ENG,1675550
2,Kyren Wilson,ENG,1367100
3,Neil Robertson,AUS,1175550
4,Zhao Xintong,CHN,1126550
5,John Higgins,SCT,918350
6,Mark Williams,WAL,873400
7,Mark Selby,ENG,819350
8,Shaun Murphy,ENG,786800
9,Xiao Guodong,CHN,643900
10,Wu Yize,CHN,635900
11,Barry Hawkins,ENG,635350
12,Ronnie O'Sullivan,ENG,571250
13,Chris Wakelin,ENG,569200
14,Mark Allen,NIR,517750
15,Si Jiahui,CHN,469400
16,Ding Junhui,CHN,434850
17,Stuart Bingham,ENG,427700
18,Jack Lisowski,ENG,410000
19,Jak Jones,WAL,398300
20,Thepchaiya Un-Nooh,THA,366600
21,Elliot Slessor,ENG,351550
22,Zhang Anda,CHN,330950
23,Ali Carter,ENG,310050
24,Zhou Yuelong,CHN,305250
25,David Gilbert,ENG,298700
26,Stephen Maguire,SCT,288950
27,Gary Wilson,ENG,286700
28,Joe O'Connor,ENG,282700
29,Pang Junxu,CHN,281900
30,Lei Peifan,CHN,261800
31,Yuan Sijun,CHN,246300
32,Hossein Vafaei,IRN,217600
33,Tom Ford,ENG,217050
34,Jimmy Robertson,ENG,210700
35,Ryan Day,WAL,198650
36,Jackson Page,WAL,198250
37,Matthew Selt,ENG,182000
38,Xu Si,CHN,178500
39,Ben Woollaston,ENG,174000
40,Aaron Hill,IRL,165950
41,Daniel Wells,WAL,162300
42,Anthony McGill,SCT,159850
43,Zak Surety,ENG,154050
44,Stan Moody,ENG,152700
45,Noppon Saengkham,THA,151350
46,Luca Brecel,BEL,148400
47,He Guoqiang,CHN,142650
48,Matthew Stevens,WAL,136450
49,Scott Donaldson,SCT,136100
50,Long Zehuang,CHN,133450
51,Chang Bingyu,CHN,133100
52,Ricky Walden,ENG,132750
53,Robbie Williams,ENG,130950
54,Lyu Haotian,CHN,129350
55,Martin O'Donnell,ENG,124400
56,Michael Holt,ENG,122350
57,David Lilley,ENG,120950
58,Oliver Lines,ENG,118200
59,Liu Hongyu,CHN,113700
60,Jamie Jones,WAL,103400
61,Robert Milkins,ENG,101500
62,Ishpreet Singh Chadha,IND,100950
63,Fan Zhengyi,CHN,100550
64,Mark Davis,ENG,96650
65,Sanderson Lam,ENG,87200
66,Ben Mertens,BEL,86450
67,Jordan Brown,NIR,84600
68,Artemijs Zizins,LVA,72250
69,Antoni Kowalski,POL,68400
70,Allan Taylor,ENG,67100
71,Wang Yuchen,HKG,64750
72,Duane Jones,WAL,64000
73,Gong Chenzhi,CHN,63600
74,Julien Leclercq,BEL,63450
75,Louis Heathcote,ENG,62200
76,Graeme Dott,SCT,61800
77,Sunny Akani,THA,58850
78,Jiang Jun,CHN,57350
79,Amir Sarkhosh,IRN,55650
80,Liam Davies,WAL,54700
81,Sam Craigie,ENG,53600
82,Iulian Boiko,UKR,48000
83,Mitchell Mann,ENG,47600
84,Farakh Ajaib,PAK,47450
85,Marco Fu,HKG,47150
86,Liam Pullen,ENG,46950
87,Cheung Ka Wai,HKG,45300
88,Bulcsu Revesz,HUN,42450
89,David Grace,ENG,41850
90,Robbie McGuigan,NIR,39200
91,Huang Jiahao,CHN,38850
92,Liam Highfield,ENG,38300
93,Steven Hallworth,ENG,37200
94,Haris Tahir,PAK,36600
95,Dylan Emery,WAL,35950
96,Ian Burns,ENG,33700
97,Haydon Pinhey,ENG,33100
98,Michal Szubarczyk,POL,27450
99,Gao Yang,CHN,25100
100,Lan Yuhao,CHN,25100
